loan_reference,borrower_nrc,loan_product_name,amount,custom_interest_rate,application_date,loan_purpose,branch_name,loan_status,approval_date,amount_type,monthly_amount
JUTEM-00001,1000001/00/1,Business Micro Loan,12000,45.0,2023-10-01,Business,Lusaka,6,2023-10-01,,4000
JUTEM-00002,1000001/00/1,Business Micro Loan,5000,25.0,2024-01-01,Business,Lusaka,6,2024-01-01,,5000
JUTEM-00003,1000002/00/1,Business Micro Loan,33000,22.0,2022-04-01,Business,Lusaka,6,2022-04-01,,5500
JUTEM-00004,1000002/00/1,Business Micro Loan,8000,22.0,2022-06-01,Business,Lusaka,6,2022-06-01,,4000
JUTEM-00005,1000002/00/1,Business Micro Loan,3000,25.0,2022-06-01,Business,Lusaka,6,2022-06-01,,3000
JUTEM-00006,1000002/00/1,Business Micro Loan,4000,25.0,2022-07-01,Business,Lusaka,6,2022-07-01,,4000
JUTEM-00007,1000002/00/1,Business Micro Loan,4000,25.0,2022-08-01,Business,Lusaka,6,2022-08-01,,4000
JUTEM-00008,1000002/00/1,Business Micro Loan,20000,25.0,2022-10-01,Business,Lusaka,6,2022-10-01,,5000
JUTEM-00009,1000002/00/1,Business Micro Loan,4500,25.0,2023-01-01,Business,Lusaka,6,2023-01-01,,4500
JUTEM-00010,1000002/00/1,Business Micro Loan,7000,22.0,2023-07-01,Business,Lusaka,6,2023-07-01,,7000
JUTEM-00011,1000002/00/1,Business Micro Loan,14000,22.0,2023-08-01,Business,Lusaka,6,2023-08-01,,7000
JUTEM-00012,1000002/00/1,Business Micro Loan,28000,20.0,2023-11-01,Business,Lusaka,6,2023-11-01,,7000
JUTEM-00013,1000002/00/1,Business Micro Loan,2000,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,2000
JUTEM-00014,1000002/00/1,Business Micro Loan,1000,25.0,2024-05-01,Business,Lusaka,6,2024-05-01,,1000
JUTEM-00015,1000002/00/1,Business Micro Loan,1200,25.0,2024-06-01,Business,Lusaka,6,2024-06-01,,1200
JUTEM-00016,1000002/00/1,Business Micro Loan,3000,23.0,2024-08-01,Business,Lusaka,6,2024-08-01,,3000
JUTEM-00017,1000002/00/1,Business Micro Loan,2300,25.0,2024-09-01,Business,Lusaka,6,2024-09-01,,2300
JUTEM-00018,1000002/00/1,Business Micro Loan,1000,25.0,2024-09-01,Business,Lusaka,6,2024-09-01,,1000
JUTEM-00019,1000002/00/1,Business Micro Loan,2000,25.0,2024-11-01,Business,Lusaka,6,2024-11-01,,2000
JUTEM-00020,1000003/00/1,Business Micro Loan,1500,25.0,2024-12-01,Business,Lusaka,6,2024-12-01,,1500
JUTEM-00021,1000003/00/1,Business Micro Loan,4000,32.0,2025-02-01,Business,Lusaka,6,2025-02-01,,2000
JUTEM-00022,1000003/00/1,Business Micro Loan,5000.01,36.0,2025-07-01,Business,Lusaka,6,2025-07-01,,1666.67
JUTEM-00023,1000004/00/1,Business Micro Loan,75000,19.0,2024-12-01,Business,Lusaka,6,2024-12-01,,75000
JUTEM-00024,1000005/00/1,Business Micro Loan,250000,40.0,2025-12-01,Business,Lusaka,5,2025-12-01,,62500
JUTEM-00025,1000006/00/1,Business Micro Loan,224000,20.21,2024-06-01,Business,Lusaka,6,2024-06-01,,224000
JUTEM-00026,1000006/00/1,Business Micro Loan,224400,19.79,2024-08-01,Business,Lusaka,6,2024-08-01,,224400
JUTEM-00027,1000007/00/1,Business Micro Loan,220000,22.0,2024-05-01,Business,Lusaka,6,2024-05-01,,220000
JUTEM-00028,1000007/00/1,Business Micro Loan,268800,11.61,2024-11-01,Business,Lusaka,6,2024-11-01,,268800
JUTEM-00029,1000007/00/1,Business Micro Loan,141000,15.0,2025-03-01,Business,Lusaka,6,2025-03-01,,141000
JUTEM-00030,1000007/00/1,Business Micro Loan,100000,20.0,2025-10-01,Business,Lusaka,6,2025-10-01,,100000
JUTEM-00031,1000008/00/1,Business Micro Loan,120000,20.0,2024-09-01,Business,Lusaka,6,2024-09-01,,120000
JUTEM-00032,1000009/00/1,Business Micro Loan,30000,10.0,2024-10-01,Business,Lusaka,6,2024-10-01,,30000
JUTEM-00033,1000009/00/1,Business Micro Loan,25000,20.0,2024-11-01,Business,Lusaka,6,2024-11-01,,25000
JUTEM-00034,1000009/00/1,Business Micro Loan,20000,25.0,2025-01-01,Business,Lusaka,6,2025-01-01,,20000
JUTEM-00035,1000009/00/1,Business Micro Loan,50000,20.0,2025-04-01,Business,Lusaka,6,2025-04-01,,50000
JUTEM-00036,1000009/00/1,Business Micro Loan,200000,19.0,2025-05-01,Business,Lusaka,6,2025-05-01,,200000
JUTEM-00037,1000009/00/1,Business Micro Loan,60000,19.0,2025-06-01,Business,Lusaka,6,2025-06-01,,60000
JUTEM-00038,1000009/00/1,Business Micro Loan,50000,15.0,2025-06-01,Business,Lusaka,6,2025-06-01,,50000
JUTEM-00039,1000009/00/1,Business Micro Loan,20000,15.0,2025-07-01,Business,Lusaka,6,2025-07-01,,20000
JUTEM-00040,1000009/00/1,Business Micro Loan,148000,16.0,2025-08-01,Business,Lusaka,6,2025-08-01,,148000
JUTEM-00041,1000009/00/1,Business Micro Loan,170000,27.0,2025-09-01,Business,Lusaka,6,2025-09-01,,170000
JUTEM-00042,1000009/00/1,Business Micro Loan,140000,20.0,2025-11-01,Business,Lusaka,6,2025-11-01,,140000
JUTEM-00043,1000009/00/1,Business Micro Loan,50000,19.0,2026-02-01,Business,Lusaka,5,2026-02-01,,50000
JUTEM-00044,1000010/00/1,Business Micro Loan,5000,20.0,2021-07-01,Business,Lusaka,6,2021-07-01,,5000
JUTEM-00045,1000010/00/1,Business Micro Loan,1500,15.0,2021-09-01,Business,Lusaka,6,2021-09-01,,1500
JUTEM-00046,1000010/00/1,Business Micro Loan,1000,12.0,2021-10-01,Business,Lusaka,6,2021-10-01,,1000
JUTEM-00047,1000010/00/1,Business Micro Loan,500,25.0,2021-12-01,Business,Lusaka,6,2021-12-01,,500
JUTEM-00048,1000010/00/1,Business Micro Loan,3500,20.0,2022-03-01,Business,Lusaka,6,2022-03-01,,3500
JUTEM-00049,1000011/00/1,Business Micro Loan,3000,25.0,2022-09-01,Business,Lusaka,6,2022-09-01,,3000
JUTEM-00050,1000011/00/1,Business Micro Loan,3420,25.0,2022-11-01,Business,Lusaka,6,2022-11-01,,3420
